,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
9750,kiesr001,Kieschnick,Roger,07/31/2013,,,,2013-07-31,Roger Kieschnick
9751,kigem001,Kiger,Mark,10/13/2006,,,,2006-10-13,Mark Kiger
9752,kilbb001,Kilby,Brad,09/02/2009,,,,2009-09-02,Brad Kilby
9754,kiled001,Kile,Darryl,04/08/1991,,,,1991-04-08,Darryl Kile
9756,kilgp001,Kilgus,Paul,06/07/1987,,,,1987-06-07,Paul Kilgus
9769,kim-b001,Kim,Byung-Hyun,05/29/1999,,,,1999-05-29,Byung-Hyun Kim
9770,kim-h001,Kim,Hyun Soo,04/10/2016,,,,2016-04-10,Hyun Soo Kim
9771,kim-s001,Kim,Sun-Woo,06/15/2001,,,,2001-06-15,Sun-Woo Kim
9773,kimbc002,Kimball,Cole,05/14/2011,,,,2011-05-14,Cole Kimball
9780,kimbc001,Kimbrel,Craig,05/07/2010,,,,2010-05-07,Craig Kimbrel
9791,kingc001,King,Curtis,08/01/1997,,,,1997-08-01,Curtis King
9792,kinge001,King,Eric,05/15/1986,,,,1986-05-15,Eric King
9794,kingj001,King,Jeff,06/02/1989,,,,1989-06-02,Jeff King
9796,kingk001,King,Kevin,09/02/1993,,,,1993-09-02,Kevin King
9802,kingr001,King,Ray,05/21/1999,,,,1999-05-21,Ray King
9807,kingm001,Kingery,Mike,07/07/1986,,,,1986-07-07,Mike Kingery
9811,kingg001,Kingsale,Gene,09/03/1996,,,,1996-09-03,Gene Kingsale
9812,kinkm001,Kinkade,Mike,09/08/1998,,,,1998-09-08,Mike Kinkade
9816,kinnj001,Kinney,Josh,07/03/2006,,,,2006-07-03,Josh Kinney
9817,kinnm002,Kinney,Matt,08/18/2000,,,,2000-08-18,Matt Kinney
9819,kinnm001,Kinnunen,Mike,06/12/1980,,,,1980-06-12,Mike Kinnunen
9822,kinsi001,Kinsler,Ian,04/03/2006,,,,2006-04-03,Ian Kinsler
9825,kintb001,Kintzler,Brandon,09/10/2010,,,,2010-09-10,Brandon Kintzler
9826,kinzm001,Kinzer,Matt,05/18/1989,,,,1989-05-18,Matt Kinzer
9829,kipnj001,Kipnis,Jason,07/22/2011,,,,2011-07-22,Jason Kipnis
9832,kippb001,Kipper,Bob,04/12/1985,,04/01/2002,,1985-04-12,Bob Kipper
9840,kirbw001,Kirby,Wayne,09/12/1991,,04/01/2011,,1991-09-12,Wayne Kirby
9846,kirkm001,Kirkman,Michael,08/21/2010,,,,2010-08-21,Michael Kirkman
9852,kiseg001,Kiser,Garland,09/09/1991,,,,1991-09-09,Garland Kiser
9861,kittr001,Kittle,Ron,09/02/1982,,,,1982-09-02,Ron Kittle
9862,kitta001,Kittredge,Andrew,07/18/2017,,,,2017-07-18,Andrew Kittredge
9864,kivlp001,Kivlehan,Patrick,08/20/2016,,,,2016-08-20,Patrick Kivlehan
9867,klasd001,Klassen,Danny,07/04/1998,,,,1998-07-04,Danny Klassen
9871,klawt001,Klawitter,Tom,04/14/1985,,,,1985-04-14,Tom Klawitter
9876,kleip001,Klein,Phil,08/01/2014,,,,2014-08-01,Phil Klein
9885,klesr001,Klesko,Ryan,09/12/1992,,,,1992-09-12,Ryan Klesko
9893,klins002,Kline,Steve,04/02/1997,,,,1997-04-02,Steve Kline
9898,klins001,Klingenbeck,Scott,06/02/1994,,,,1994-06-02,Scott Klingenbeck
9901,klinj001,Klink,Joe,04/09/1987,,,,1987-04-09,Joe Klink
9906,klubc001,Kluber,Corey,09/01/2011,,,,2011-09-01,Corey Kluber
9913,kmakj001,Kmak,Joe,04/06/1993,,,,1993-04-06,Joe Kmak
9915,knacb001,Knackert,Brent,04/10/1990,,,,1990-04-10,Brent Knackert
9916,knapa001,Knapp,Andrew,04/06/2017,,,,2017-04-06,Andrew Knapp
9922,knebc001,Knebel,Corey,05/24/2014,,,,2014-05-24,Corey Knebel
9933,knigb001,Knight,Brandon,06/05/2001,,,,2001-06-05,Brandon Knight
9942,knobc001,Knoblauch,Chuck,04/09/1991,,,,1991-04-09,Chuck Knoblauch
9946,knoej001,Knoedler,Justin,10/03/2004,,,,2004-10-03,Justin Knoedler
9950,knorr001,Knorr,Randy,09/05/1991,,06/16/2006,,1991-09-05,Randy Knorr
9953,knote001,Knott,Eric,09/01/2001,,,,2001-09-01,Eric Knott
9955,knotj001,Knott,Jon,05/30/2004,,,,2004-05-30,Jon Knott
9956,knotg001,Knotts,Gary,07/28/2001,,,,2001-07-28,Gary Knotts
9966,knudk001,Knudsen,Kurt,05/16/1992,,,,1992-05-16,Kurt Knudsen
9967,knudg001,Knudson,Guido,08/22/2015,,,,2015-08-22,Guido Knudson
9968,knudm001,Knudson,Mark,07/08/1985,,,,1985-07-08,Mark Knudson
9970,kobam001,Kobayashi,Masahide,04/02/2008,,,,2008-04-02,Masahide Kobayashi
9972,kobej001,Kobernus,Jeff,05/25/2013,,,,2013-05-25,Jeff Kobernus
9975,kochb001,Koch,Billy,05/05/1999,,,,1999-05-05,Billy Koch
9976,kochm001,Koch,Matt,09/09/2016,,,,2016-09-09,Matt Koch
9982,koeht001,Koehler,Tom,09/05/2012,,,,2012-09-05,Tom Koehler
9983,koelb001,Koelling,Brian,08/21/1993,,,,1993-08-21,Brian Koelling
9991,kohlr001,Kohlmeier,Ryan,07/29/2000,,,,2000-07-29,Ryan Kohlmeier
9992,kohnm001,Kohn,Michael,07/26/2010,,,,2010-07-26,Michael Kohn
9994,kolaa001,Kolarek,Adam,06/29/2017,,,,2017-06-29,Adam Kolarek
9995,kolbb001,Kolb,Brandon,05/12/2000,,,,2000-05-12,Brandon Kolb
9996,kolbd001,Kolb,Danny,06/04/1999,,,,1999-06-04,Danny Kolb
10004,komae001,Komatsu,Erik,04/06/2012,,,,2012-04-06,Erik Komatsu
10005,komis002,Komine,Shane,07/30/2006,,,,2006-07-30,Shane Komine
10006,komis001,Komiyama,Satoru,04/04/2002,,,,2002-04-04,Satoru Komiyama
10008,kommb001,Komminsk,Brad,08/14/1983,,,,1983-08-14,Brad Komminsk
10009,konep001,Konerko,Paul,09/08/1997,,,,1997-09-08,Paul Konerko
10016,kontg001,Kontos,George,09/10/2011,,,,2011-09-10,George Kontos
10017,konud001,Konuszewski,Dennis,08/04/1995,,,,1995-08-04,Dennis Konuszewski
10018,koo-d001,Koo,Dae-Sung,04/04/2005,,,,2005-04-04,Dae-Sung Koo
10021,koong001,Koonce,Graham,09/20/2003,,,,2003-09-20,Graham Koonce
10028,koplm001,Koplove,Mike,09/06/2001,,,,2001-09-06,Mike Koplove
10033,koreb001,Korecky,Bobby,04/26/2008,,,,2008-04-26,Bobby Korecky
10036,koroj001,Koronka,John,06/01/2005,,,,2005-06-01,John Koronka
10040,koshj001,Koshansky,Joe,09/01/2007,,,,2007-09-01,Joe Koshansky
10043,koskc001,Koskie,Corey,09/09/1998,,,,1998-09-09,Corey Koskie
10045,koslk001,Koslofski,Kevin,06/28/1992,,,,1992-06-28,Kevin Koslofski
10050,kotcc001,Kotchman,Casey,05/09/2004,,,,2004-05-09,Casey Kotchman
10051,kotsm001,Kotsay,Mark,07/11/1997,,04/06/2015,,1997-07-11,Mark Kotsay
10052,kottg001,Kottaras,George,09/13/2008,,,,2008-09-13,George Kottaras
10056,kouzk001,Kouzmanoff,Kevin,09/02/2006,,,,2006-09-02,Kevin Kouzmanoff
10058,kowib001,Kowitz,Brian,06/04/1995,,,,1995-06-04,Brian Kowitz
10061,kozlb001,Kozlowski,Ben,09/19/2002,,,,2002-09-19,Ben Kozlowski
10062,kozmp001,Kozma,Pete,05/18/2011,,,,2011-05-18,Pete Kozma
10064,kraej001,Kraemer,Joe,08/22/1989,,,,1989-08-22,Joe Kraemer
10070,kramr001,Kramer,Randy,09/11/1988,,,,1988-09-11,Randy Kramer
10071,kramt001,Kramer,Tom,09/12/1991,,,,1991-09-12,Tom Kramer
10075,krate001,Kratz,Erik,07/17/2010,,,,2010-07-17,Erik Kratz
10079,kraum001,Krauss,Marc,06/21/2013,,,,2013-06-21,Marc Krauss
10084,krawr001,Krawczyk,Ray,06/29/1984,,,,1984-06-29,Ray Krawczyk
10091,kremj001,Kremers,Jimmy,06/05/1990,,,,1990-06-05,Jimmy Kremers
10098,kreuc001,Kreuter,Chad,09/14/1988,,,,1988-09-14,Chad Kreuter
10104,krivr001,Krivda,Rick,07/07/1995,,,,1995-07-07,Rick Krivda
10106,kroej001,Kroeger,Josh,09/02/2004,,,,2004-09-02,Josh Kroeger
10107,kroez001,Kroenke,Zach,09/10/2010,,,,2010-09-10,Zach Kroenke
10109,kroli001,Krol,Ian,06/05/2013,,,,2013-06-05,Ian Krol
10113,kroom001,Kroon,Marc,07/07/1995,,,,1995-07-07,Marc Kroon
10116,krueb001,Krueger,Bill,04/10/1983,,,,1983-04-10,Bill Krueger
10120,krugg101,Krug,Gene,04/29/1981,,,,1981-04-29,Gene Krug
10125,krukj001,Kruk,John,04/07/1986,,,,1986-04-07,John Kruk
10129,krynd001,Krynzel,Dave,09/01/2004,,,,2004-09-01,Dave Krynzel
10131,kubej002,Kubel,Jason,08/31/2004,,,,2004-08-31,Jason Kubel
10132,kubej001,Kubenka,Jeff,09/06/1998,,,,1998-09-06,Jeff Kubenka
10134,kubit001,Kubinski,Tim,07/16/1997,,,,1997-07-16,Tim Kubinski
10136,kubik001,Kubitza,Kyle,06/10/2015,,,,2015-06-10,Kyle Kubitza
10137,kubsg101,Kubski,Gil,09/02/1980,,,,1980-09-02,Gil Kubski
10148,kuhlc001,Kuhl,Chad,06/26/2016,,,,2016-06-26,Chad Kuhl
10158,kunkj001,Kunkel,Jeff,07/23/1984,,,,1984-07-23,Jeff Kunkel
10161,kunze001,Kunz,Eddie,08/03/2008,,,,2008-08-03,Eddie Kunz
10162,kuo-h001,Kuo,Hong-Chih,09/02/2005,,,,2005-09-02,Hong-Chih Kuo
10163,kuroh001,Kuroda,Hiroki,04/04/2008,,,,2008-04-04,Hiroki Kuroda
10172,kutcr001,Kutcher,Randy,06/19/1986,,,,1986-06-19,Randy Kutcher
10175,kutzj001,Kutzler,Jerry,04/28/1990,,,,1990-04-28,Jerry Kutzler
10176,kuwam001,Kuwata,Masumi,06/10/2007,,,,2007-06-10,Masumi Kuwata
10181,lastt001,La Stella,Tommy,05/28/2014,,,,2014-05-28,Tommy La Stella
10183,labaj001,Labandeira,Josh,09/17/2004,,,,2004-09-17,Josh Labandeira
10185,laboj001,Labourt,Jairo,09/01/2017,,,,2017-09-01,Jairo Labourt
10192,lacha101,Lachowicz,Al,09/13/1983,,,,1983-09-13,Al Lachowicz
10193,lackj001,Lackey,John,06/24/2002,,,,2002-06-24,John Lackey
10199,lacyk001,Lacy,Kerry,08/16/1996,,,,1996-08-16,Kerry Lacy
10204,ladet001,Ladendorf,Tyler,04/08/2015,,,,2015-04-08,Tyler Ladendorf
10208,laffa001,Laffey,Aaron,08/04/2007,,,,2007-08-04,Aaron Laffey
10210,lafop001,LaForest,Pete,09/02/2003,,,,2003-09-02,Pete LaForest
10212,lafrr101,LaFrancois,Roger,05/27/1982,,,,1982-05-27,Roger LaFrancois
